Name,Value, Ball Control, Dribbling, Marking, Slide Tackle, Stand Tackle, Aggression, Reactions, Att. Position, Interceptions, Vision, Composure, Crossing, Short Pass, Long Pass, Acceleration, Stamina, Strength, Balance, Sprint Speed, Agility, Jumping, Heading, Shot Power, Finishing, Long Shots, Curve, FK Acc., Penalties, Volleys, GK Positioning, GK Diving, GK Handling, GK Kicking, GK Reflexes,Tag
722,25000000,80,82,63,63,59,63,72,76,66,74,76,78,78,69,83,75,69,83,79,80,72,54,79,75,75,77,80,68,64,7,11,15,13,14,1
723,25000000,76,78,30,18,24,69,76,77,28,71,70,69,75,59,87,74,82,62,85,77,73,73,77,76,69,54,40,65,70,11,15,13,16,15,1
724,25000000,79,82,33,18,27,62,80,83,24,74,72,73,76,62,77,67,63,69,79,76,72,68,78,82,65,68,70,75,67,7,14,7,7,14,1
725,25000000,79,78,24,19,27,63,79,85,25,69,73,74,71,58,90,76,56,82,86,88,76,72,75,79,68,71,61,83,77,9,10,7,9,9,1
726,25000000,74,51,77,81,80,75,76,43,82,51,55,55,74,69,60,73,72,52,63,53,69,73,45,39,37,30,35,53,31,9,8,12,11,7,3
727,25000000,83,83,34,37,34,52,76,72,34,76,74,74,76,66,83,80,62,72,83,83,54,48,74,66,74,73,70,68,70,13,14,15,10,12,1
728,25000000,82,84,30,36,39,41,74,74,49,74,80,67,73,66,91,71,56,82,92,88,66,58,65,67,60,79,62,70,68,6,8,9,15,7,1
729,25000000,70,65,79,79,86,72,74,32,76,56,67,49,74,69,64,66,68,62,68,54,72,77,31,36,20,32,22,38,25,6,10,12,8,8,3
730,25000000,79,76,66,72,78,74,77,72,76,81,73,70,78,75,73,73,74,66,73,76,58,60,77,73,69,70,70,68,70,9,6,16,16,9,1
731,25000000,65,60,78,77,80,73,75,31,79,52,67,36,69,49,66,71,78,53,68,52,88,77,61,25,29,33,29,45,36,12,14,8,11,7,3
732,25000000,83,84,18,22,30,43,74,62,35,80,74,76,79,77,78,55,39,90,73,90,56,42,83,65,75,80,82,71,65,7,14,16,10,12,1
733,25000000,66,58,82,78,82,82,70,26,80,40,68,36,66,66,65,72,78,55,69,59,74,72,60,20,46,36,24,34,24,8,9,14,12,9,3
734,25000000,77,76,73,78,79,73,74,56,72,55,65,80,73,67,85,80,71,74,86,78,76,67,59,48,47,67,23,42,41,11,12,11,6,10,3
735,25000000,77,80,23,26,30,39,78,78,34,68,76,74,69,67,92,78,43,81,93,90,72,60,73,69,72,78,74,65,55,12,14,8,12,7,1
736,25000000,74,62,72,78,78,78,78,61,81,72,72,63,78,76,66,84,78,69,66,62,79,71,74,51,66,57,43,60,62,12,14,15,7,12,3
737,25000000,76,72,74,75,82,87,74,63,82,64,70,63,75,70,59,78,85,59,62,60,75,78,77,64,71,72,73,66,57,7,11,11,8,12,1
738,25000000,30,21,9,8,15,27,78,16,25,61,31,20,15,25,57,31,69,28,58,36,50,14,42,14,18,12,20,17,18,75,80,72,80,82,2
739,25000000,80,72,57,67,73,58,81,83,69,77,71,61,79,72,67,70,66,64,66,70,65,64,71,74,78,71,57,54,54,8,8,10,9,13,4
740,25000000,81,74,59,66,74,72,78,69,75,79,77,67,81,78,64,73,77,53,62,72,76,75,75,66,74,67,57,68,68,7,9,12,9,15,1
741,25000000,80,75,69,71,74,75,68,73,72,77,68,68,81,76,65,83,80,64,76,60,71,66,75,70,74,41,42,45,67,15,15,12,12,14,1
742,25000000,54,55,80,77,81,77,77,34,81,43,70,45,56,50,64,58,78,57,74,52,90,76,46,39,41,32,30,47,40,9,9,11,14,7,3
743,25000000,73,59,79,82,79,68,77,55,82,55,61,69,74,71,71,84,75,67,74,68,82,69,70,37,55,58,42,54,53,8,8,7,11,9,3
744,1000000,65,60,80,78,80,80,76,29,79,52,74,49,63,67,69,55,79,62,69,61,78,76,78,13,48,61,63,43,30,6,14,9,12,14,3
745,25000000,61,42,78,80,83,73,77,24,80,38,71,37,65,52,72,71,72,68,75,65,90,80,40,24,22,35,27,42,28,10,6,16,6,8,1
746,8000000,75,75,74,77,75,73,75,59,73,60,73,77,73,71,88,92,55,92,84,88,92,60,69,27,73,63,60,60,53,8,13,5,9,14,1
747,25000000,66,44,78,78,77,89,71,61,78,35,58,68,74,60,72,78,71,66,73,65,77,80,62,49,47,46,43,48,44,13,15,14,9,11,3
748,25000000,82,84,16,20,24,50,70,82,30,68,68,67,72,55,85,75,70,69,92,85,69,64,84,70,74,64,66,68,72,4,4,6,4,4,1
749,12000000,78,71,76,75,79,78,81,70,79,70,77,61,75,69,53,93,69,52,54,66,51,58,53,41,40,54,51,47,49,6,8,13,9,8,3
750,25000000,79,80,38,38,35,63,70,76,32,76,65,73,78,74,73,71,66,74,77,81,61,57,76,74,77,78,78,80,71,13,16,15,16,11,1
751,25000000,79,68,79,81,80,70,76,48,76,59,84,62,80,68,75,76,78,57,75,64,72,74,46,29,38,26,29,37,27,10,7,15,11,8,3
752,25000000,65,52,76,73,79,87,66,43,77,42,62,35,60,58,64,60,91,44,67,60,76,75,60,35,33,52,44,45,22,7,8,13,7,8,3
753,25000000,77,79,38,42,40,72,72,75,45,75,72,75,75,68,89,73,74,76,87,85,78,52,82,70,74,72,69,75,64,15,8,15,14,14,1
754,25000000,71,68,75,74,86,84,77,48,83,61,72,59,77,64,64,76,85,43,68,60,54,88,73,36,53,33,58,43,26,13,14,7,10,16,3
755,25000000,77,72,68,62,77,89,77,75,78,76,62,59,81,76,59,79,67,60,54,66,55,59,81,58,72,76,67,55,55,10,10,14,9,9,4
756,19000000,68,69,76,80,80,88,74,59,78,57,69,76,72,74,74,77,83,62,74,71,86,83,79,52,63,67,57,64,49,15,7,8,12,10,1
757,25000000,80,81,20,24,28,33,80,79,24,66,72,65,72,53,95,91,45,88,92,90,80,64,78,78,73,60,48,69,75,15,7,12,13,14,1
758,25000000,82,80,33,44,48,57,73,75,32,78,77,74,77,73,76,69,59,66,72,83,70,57,77,74,78,81,77,73,74,7,14,15,7,8,1
759,25000000,80,76,13,12,16,48,76,76,22,78,36,83,77,79,77,65,67,69,78,75,59,63,73,69,64,83,48,63,61,13,9,10,8,8,4
760,5000000,68,55,76,81,80,72,72,37,79,53,65,70,70,61,74,73,77,67,72,56,81,75,54,22,28,55,37,45,28,15,12,7,10,7,3
761,15000000,80,83,37,44,48,59,75,77,43,76,79,75,77,68,76,79,83,54,78,65,71,67,81,76,76,77,78,76,73,10,12,11,12,13,1
762,25000000,82,83,19,19,23,48,74,72,26,69,65,74,73,63,94,75,55,75,91,83,72,47,81,68,67,72,64,56,66,7,15,12,9,13,1
763,25000000,84,86,19,18,23,23,70,74,21,77,72,76,76,69,79,68,50,84,79,86,55,50,74,70,80,80,78,68,68,8,15,15,9,9,1
764,25000000,68,60,77,81,80,80,70,53,79,66,78,67,76,77,55,81,84,40,66,56,71,83,83,44,72,54,77,70,52,13,11,14,6,9,3
765,25000000,79,75,40,61,58,64,76,79,58,80,75,77,82,75,77,77,62,72,74,75,67,62,72,65,74,75,67,56,70,14,6,6,10,10,1
766,25000000,64,53,78,78,82,86,70,42,76,35,66,71,69,69,58,73,85,64,63,53,58,73,56,40,40,30,38,38,34,15,11,9,7,6,3
767,25000000,81,71,64,61,73,86,79,65,81,84,72,70,84,79,68,76,69,90,65,75,56,27,77,26,71,80,70,64,73,10,11,11,14,7,4
768,25000000,77,78,12,19,23,78,75,76,33,77,77,57,75,68,79,77,83,63,85,77,78,75,78,75,73,69,67,76,70,7,8,10,9,8,1
769,7500000,82,85,26,28,27,32,74,75,25,78,51,77,78,72,75,65,58,79,78,78,53,61,67,71,73,80,73,61,53,6,16,7,15,14,4
770,25000000,78,70,78,75,77,79,73,55,77,70,70,67,80,72,76,89,75,83,74,80,82,65,62,49,64,69,48,55,43,12,14,12,9,15,3
771,25000000,81,80,26,29,28,52,78,78,31,66,69,72,75,58,83,57,67,68,85,77,74,64,77,76,74,76,67,82,73,11,7,13,10,5,1
772,7500000,48,33,77,77,80,80,77,38,79,52,64,30,70,60,50,62,83,34,52,46,59,86,57,40,19,29,23,42,34,11,11,7,6,13,3
773,25000000,76,75,47,44,45,80,75,79,49,72,76,65,69,65,83,83,77,65,77,75,82,76,75,80,68,73,58,70,74,6,8,10,15,15,1
774,3000000,76,73,75,70,82,83,78,70,80,74,79,75,79,74,59,86,78,62,55,64,77,67,82,65,79,72,61,74,73,10,6,14,16,14,1
775,25000000,78,83,17,23,19,53,79,80,29,69,72,72,75,53,85,76,56,77,86,78,65,65,82,81,86,79,70,71,73,6,11,13,13,10,1
776,25000000,80,69,65,72,76,65,78,70,77,78,65,57,85,78,51,70,75,42,55,62,59,74,63,60,59,59,50,46,48,6,15,13,9,16,3
777,25000000,83,81,35,43,44,52,74,72,45,75,71,76,75,71,78,69,40,89,71,86,50,27,72,71,76,75,78,75,70,6,7,12,15,7,1
778,25000000,66,59,79,77,80,78,77,43,79,60,72,40,75,55,68,74,79,64,69,67,75,76,49,44,59,55,32,38,50,11,10,14,7,11,3
779,12000000,82,67,71,78,80,86,78,69,80,73,83,66,85,73,74,88,74,78,67,76,75,58,79,66,68,62,63,82,58,15,9,11,7,13,1
780,5000000,79,79,39,33,40,74,76,79,44,76,74,70,73,70,90,83,85,83,86,82,86,51,86,78,77,76,75,80,77,14,15,11,15,9,1
781,25000000,74,66,31,22,37,67,78,83,47,61,78,56,59,46,66,74,81,55,74,65,82,81,83,82,71,59,43,77,72,9,9,11,7,13,1
782,25000000,77,73,29,35,37,65,79,81,40,63,73,54,71,46,64,66,86,51,68,59,56,71,85,78,71,62,71,80,73,15,15,14,16,8,1
783,11000000,78,84,36,27,29,46,69,70,21,71,75,77,75,67,89,69,66,71,89,80,48,52,82,74,78,68,76,83,59,11,13,11,11,13,1
784,25000000,69,69,76,80,77,69,66,58,77,59,53,76,69,75,84,88,68,80,88,78,78,59,83,24,68,77,55,50,66,8,6,15,16,8,1
785,3500000,82,81,21,14,24,85,78,81,41,68,82,77,74,66,82,68,69,68,79,76,77,54,88,67,76,58,56,48,64,8,13,13,14,15,1
786,25000000,79,75,78,77,79,80,81,67,86,72,80,60,81,74,75,88,73,80,75,75,80,69,80,50,67,33,43,54,32,12,8,6,8,13,1
787,11000000,76,72,12,20,22,62,74,84,20,58,78,60,68,42,76,68,68,76,78,76,82,76,78,83,60,66,51,69,77,9,6,14,15,11,1
788,6000000,77,80,32,26,30,75,73,81,31,74,77,72,77,62,82,80,77,76,87,90,85,65,79,75,73,72,75,71,75,7,14,13,11,8,1
789,9000000,82,73,55,54,70,76,77,67,62,83,74,58,78,71,66,91,69,64,71,72,70,65,82,66,84,74,71,69,72,9,16,8,16,6,1
790,8000000,75,72,13,15,34,66,78,82,31,61,72,64,70,60,75,74,80,66,75,76,80,82,80,77,73,72,73,75,75,12,12,14,12,9,1
791,25000000,23,14,12,17,19,33,78,15,16,38,50,15,35,37,44,44,72,43,46,50,58,14,21,15,18,20,13,20,13,75,80,69,74,82,2
792,2500000,70,55,76,76,74,84,68,30,84,59,59,54,72,68,54,74,82,58,66,55,82,80,43,23,17,40,39,55,13,13,9,13,8,6,3
793,3000000,82,82,58,66,62,66,76,80,66,76,78,78,78,70,84,79,55,93,74,88,55,58,68,66,80,76,72,69,74,14,14,11,14,7,1
794,5000000,79,79,42,41,41,63,75,76,39,75,73,79,78,75,79,73,66,78,79,82,60,63,77,77,77,78,73,72,75,7,14,11,14,13,1
795,25000000,72,62,77,81,83,80,73,51,75,54,58,75,65,64,76,86,87,50,78,50,57,69,76,27,66,68,30,37,44,9,12,8,9,14,3
796,25000000,68,58,78,78,82,77,77,43,81,56,60,60,79,82,33,35,83,43,32,55,54,73,58,45,47,58,52,52,46,16,16,14,11,9,3
797,25000000,86,84,23,35,35,44,70,74,32,78,72,74,78,68,82,68,62,78,78,81,64,47,76,72,76,75,76,76,72,6,6,14,7,12,1
798,6500000,83,82,35,31,33,48,75,76,26,72,58,78,76,67,81,73,52,85,79,85,41,43,57,73,73,77,66,68,64,13,15,5,14,7,4
799,25000000,78,81,16,27,23,63,74,76,43,83,74,86,80,81,75,71,61,74,74,69,65,52,77,69,76,82,79,58,62,6,12,7,8,10,1
800,4000000,79,78,64,70,70,58,79,70,77,79,76,69,78,77,74,78,65,73,68,79,65,59,71,63,72,78,76,71,66,12,13,8,13,10,1
801,20000000,83,87,27,17,34,76,74,69,31,63,69,75,71,67,89,80,82,76,89,84,60,51,81,64,71,62,49,65,51,14,8,9,12,6,1
802,25000000,84,84,34,50,54,84,77,77,39,74,64,76,74,70,87,66,59,91,87,92,70,58,66,61,71,69,68,65,73,6,10,11,11,11,1
803,9000000,68,49,29,26,48,67,82,84,39,51,77,38,65,37,54,63,84,35,66,37,55,89,83,83,72,35,32,76,81,11,6,12,15,8,4
804,15000000,72,72,74,79,83,90,80,64,79,64,76,63,73,68,62,84,92,66,69,72,81,73,79,62,64,62,57,65,62,13,6,14,10,16,1
805,14000000,83,84,24,32,38,83,68,67,43,74,72,78,75,77,85,68,79,82,86,83,58,59,79,66,76,77,70,70,70,12,11,10,7,11,1
806,9000000,79,77,68,76,76,84,78,76,76,74,76,68,78,76,69,87,90,54,69,71,78,74,85,65,78,68,70,71,68,15,14,8,9,8,1
807,25000000,74,67,74,81,78,88,76,62,80,66,83,68,73,71,68,81,84,59,76,56,62,67,80,65,73,55,54,62,57,11,12,16,10,12,1
808,3000000,84,82,55,66,68,78,73,68,70,77,83,77,80,78,77,74,68,77,73,84,58,58,82,64,76,78,75,76,68,6,6,11,10,6,1
809,25000000,61,56,77,76,83,78,73,43,80,48,68,40,65,59,51,61,90,36,55,49,66,76,64,35,39,42,43,41,38,16,14,12,13,9,3
810,25000000,62,50,80,82,82,78,75,41,81,38,70,40,60,64,66,62,78,60,69,60,78,74,60,40,36,40,31,39,45,15,7,6,10,10,3
811,7000000,79,78,61,61,65,77,79,74,71,77,74,77,81,79,74,85,64,78,67,83,90,60,72,65,69,78,75,66,69,11,12,12,8,9,1
812,25000000,77,76,74,72,75,77,82,80,82,71,77,64,75,72,77,90,68,83,77,84,71,68,83,71,74,68,71,70,70,14,12,10,6,12,1
813,4500000,83,81,39,53,59,56,75,75,61,79,72,73,80,77,73,75,78,54,75,70,68,71,81,63,77,77,72,70,70,6,5,14,6,9,1
814,25000000,55,50,80,79,79,84,74,32,78,46,74,40,60,60,69,74,80,60,69,58,88,78,56,42,53,44,45,52,51,7,11,15,8,8,1
815,5000000,69,61,77,78,80,91,74,44,69,45,68,51,72,68,65,73,78,59,68,65,82,76,67,41,54,36,33,44,36,12,14,12,13,14,3
816,8000000,70,65,42,21,29,70,76,78,51,60,73,62,67,31,88,79,78,68,87,75,91,87,80,80,64,32,36,75,71,1,1,1,1,1,1
817,6000000,77,69,12,16,16,83,77,86,21,59,77,52,66,35,78,78,78,71,76,82,90,77,73,83,41,71,47,79,77,13,15,15,10,5,1
818,25000000,77,75,79,84,76,64,75,45,82,52,67,49,70,70,67,68,73,55,68,68,72,82,49,45,47,45,36,50,38,7,8,14,12,8,3
819,9000000,80,79,47,49,59,71,77,74,65,77,72,74,83,80,66,73,56,77,74,72,62,48,74,64,75,59,62,72,68,12,15,11,9,13,1
820,25000000,81,74,74,82,76,87,76,68,72,63,65,79,76,69,82,83,72,83,78,78,80,62,64,49,64,75,51,58,59,12,14,7,6,8,1
821,25000000,80,81,33,34,55,66,81,80,45,71,76,74,73,65,86,51,47,94,79,87,73,43,61,73,72,78,69,61,63,13,10,5,5,12,1
822,3500000,74,69,72,79,80,82,77,63,79,72,76,81,77,76,68,86,74,70,76,66,71,65,83,46,74,65,41,51,60,15,14,13,7,11,3
823,2500000,63,40,80,74,79,82,64,33,73,49,73,51,75,63,63,63,87,41,69,55,76,78,56,39,42,51,42,52,44,9,11,15,12,12,3
824,12000000,76,80,31,41,45,66,78,84,30,60,85,49,61,47,80,70,81,69,81,75,80,74,73,79,62,64,53,63,70,16,9,11,13,8,1
825,4500000,75,79,25,19,20,51,77,78,32,65,67,72,71,60,90,70,65,70,91,83,71,68,78,80,65,71,71,79,72,12,14,14,8,10,1
826,25000000,78,80,64,76,78,76,78,78,72,70,74,82,78,78,78,90,78,76,84,74,71,68,84,66,78,76,61,55,65,10,5,12,14,5,1
827,4000000,75,68,21,15,17,83,77,83,19,56,84,49,70,61,52,70,92,50,61,41,72,79,81,81,69,56,48,80,77,8,6,10,6,8,4
828,7000000,67,67,73,74,77,79,71,54,75,65,67,60,73,73,68,75,87,58,71,65,88,78,70,56,59,51,55,57,59,13,6,14,15,11,3
829,5000000,80,81,60,62,62,59,76,75,64,80,70,78,80,79,77,77,69,76,77,83,90,77,75,73,65,73,76,66,69,15,10,8,13,11,1
830,5000000,76,78,21,24,51,86,75,76,27,65,73,76,74,59,69,77,90,78,76,66,82,76,84,78,73,79,68,68,76,8,13,13,12,11,1
831,11000000,75,65,33,25,29,80,74,77,29,67,78,55,73,60,69,79,92,74,69,65,86,82,86,80,78,68,36,80,74,12,10,11,16,15,1
832,4250000,77,78,27,20,21,53,73,72,25,75,78,84,74,73,80,77,61,73,77,84,63,42,85,72,83,85,85,85,73,7,10,7,14,10,1
833,10000000,74,67,42,43,46,85,77,75,45,65,78,64,65,56,69,75,92,50,65,62,84,91,85,76,78,53,42,73,74,10,14,14,12,6,1
834,25000000,79,83,51,47,60,55,73,75,57,74,73,72,76,71,75,75,64,79,73,79,77,66,80,73,81,76,72,75,75,15,11,14,10,9,1
835,25000000,21,16,14,18,16,35,78,13,15,47,67,13,39,33,37,34,62,30,40,62,62,13,22,11,16,19,12,12,13,77,82,73,70,79,1
836,25000000,73,72,20,23,21,44,73,80,35,73,62,61,74,54,78,82,85,63,77,77,79,80,78,77,75,63,66,72,74,15,6,14,10,14,1
837,25000000,81,77,55,71,70,68,67,75,54,82,84,74,86,81,64,72,72,59,68,70,70,71,83,73,73,76,77,76,55,9,14,9,7,10,1
838,7000000,74,69,76,76,77,83,77,65,77,69,73,72,78,73,77,91,74,61,70,73,74,69,74,53,70,43,53,65,31,16,10,15,9,9,1
839,5000000,83,85,25,30,38,38,81,73,39,69,78,71,73,68,87,64,53,80,82,89,66,35,69,70,74,80,71,65,70,7,8,15,14,12,1
840,7500000,78,75,74,78,78,75,78,74,70,71,72,78,77,71,81,80,69,69,81,74,83,69,74,60,68,55,22,43,57,6,11,15,7,7,1
841,6000000,78,82,36,38,35,55,73,80,51,74,68,76,75,63,88,65,52,91,79,85,76,71,63,73,70,81,58,59,72,8,10,8,13,10,1
842,8000000,83,87,26,20,36,59,77,79,38,67,76,69,76,70,77,75,77,66,78,76,72,74,77,76,76,77,44,75,75,16,9,9,9,6,1
843,3000000,49,35,82,79,86,73,75,25,69,38,64,32,66,50,55,63,81,49,65,54,65,86,48,18,24,23,22,38,22,15,8,6,14,9,3
844,25000000,41,39,83,83,84,82,76,48,70,44,75,47,50,69,67,69,80,60,73,62,74,84,81,29,47,33,58,43,32,8,6,5,10,6,3
845,10000000,79,83,63,71,73,82,72,71,75,72,76,69,80,76,79,89,64,86,77,89,72,53,80,63,73,72,48,65,59,11,10,9,14,6,1
846,2500000,65,62,78,74,79,78,74,48,74,60,69,65,74,68,62,74,83,65,68,60,80,82,59,37,50,56,36,50,29,12,11,15,10,11,3
847,25000000,52,52,84,78,82,78,64,35,80,38,68,45,50,58,65,68,86,58,69,59,82,76,60,22,28,38,24,38,22,5,3,5,3,3,3
848,1500000,75,70,18,24,28,50,74,84,25,60,78,50,67,45,76,68,78,65,78,72,85,82,78,82,58,65,46,74,78,5,4,4,4,4,1
849,6500000,55,41,76,79,80,92,72,35,66,44,71,53,57,51,62,62,90,60,65,51,91,85,72,23,58,42,54,46,45,9,11,10,12,10,3
850,25000000,71,60,76,74,78,72,70,32,79,50,76,43,72,67,73,81,85,65,79,70,83,77,64,48,52,32,39,64,43,15,14,11,15,7,3
851,15000000,82,74,75,68,80,94,80,79,76,74,77,61,77,66,54,86,92,52,55,50,65,91,75,73,72,62,46,64,71,15,8,6,9,16,1
852,3000000,25,21,12,12,13,33,78,19,29,55,30,20,39,46,51,38,78,53,52,70,66,15,25,10,17,18,22,12,12,78,77,76,71,80,2
853,12000000,24,14,13,16,14,34,75,16,21,40,66,11,39,34,55,31,72,42,59,28,69,16,45,11,16,16,12,41,16,72,79,73,65,84,2
854,8000000,74,72,76,80,78,73,76,70,76,64,76,76,72,68,79,79,78,65,79,71,75,72,70,58,51,69,41,51,43,14,6,11,11,5,3
855,2000000,55,49,82,80,82,78,70,33,78,28,74,22,57,55,62,54,81,55,66,59,85,77,59,16,24,31,18,34,23,5,12,11,5,14,3
856,25000000,78,80,62,66,69,66,82,68,67,79,71,69,84,74,67,70,74,57,69,71,53,65,65,72,73,72,59,61,55,14,10,14,11,7,4
857,15000000,33,20,13,12,13,43,67,13,22,44,34,19,27,19,32,29,75,42,35,32,59,13,36,13,12,10,19,22,19,77,75,80,74,82,2
858,13000000,79,78,27,33,43,69,81,83,32,70,82,65,74,64,86,77,77,71,85,87,82,79,82,80,73,75,54,76,81,10,9,13,11,9,1
859,25000000,78,76,30,30,33,53,80,79,36,82,80,78,78,76,69,69,64,73,67,73,68,65,79,70,84,80,79,71,68,10,15,15,8,12,1
860,25000000,76,63,61,76,83,91,75,59,81,65,73,58,74,75,57,79,86,67,60,64,82,73,82,57,71,70,69,61,67,13,8,8,9,16,3
861,25000000,74,74,75,79,80,77,78,68,74,66,77,70,79,75,65,92,77,55,55,49,74,70,73,62,68,61,30,52,61,14,12,11,11,12,3
862,7000000,79,70,73,71,74,81,77,71,78,71,76,66,78,76,67,85,73,78,64,75,53,60,65,56,61,54,66,69,51,1,1,1,1,1,3
863,5000000,77,73,71,76,78,70,77,65,80,74,80,57,80,78,64,83,72,71,55,63,72,71,57,54,50,39,24,47,60,6,13,11,16,6,3
864,3500000,73,64,72,80,82,93,72,47,77,67,67,61,75,76,67,79,78,71,68,64,63,67,74,49,60,57,58,64,58,14,11,9,15,15,3
865,6000000,75,74,23,28,33,58,77,78,43,65,78,68,71,55,79,73,75,68,84,76,91,86,77,78,64,68,48,72,73,14,9,14,13,6,1
866,3500000,82,80,31,28,34,55,76,75,41,81,79,77,79,75,74,68,78,68,76,68,68,61,84,58,81,78,78,76,73,5,3,5,5,3,1
867,5000000,77,72,42,47,44,81,78,82,43,61,70,59,67,53,71,63,92,67,74,61,75,75,84,76,68,66,68,73,75,8,7,13,7,10,1
868,4000000,23,12,14,12,13,29,73,18,28,39,58,14,42,34,58,32,79,57,57,39,69,12,21,11,13,13,15,23,13,77,76,77,81,79,2
869,2500000,79,69,63,58,63,62,82,74,77,85,86,79,82,84,55,53,67,72,48,76,44,62,82,60,77,85,86,85,77,7,16,12,14,9,4
870,25000000,69,65,76,79,76,75,74,40,78,63,61,75,64,64,86,91,72,70,83,69,71,66,79,40,53,65,62,31,57,9,13,9,7,10,3
871,3000000,75,67,79,79,78,73,79,60,77,69,67,78,74,71,77,76,59,73,77,81,74,57,64,61,65,70,71,56,37,7,13,7,8,7,3
872,3800000,78,80,26,28,32,58,77,80,32,76,73,73,76,72,82,58,63,81,83,76,60,57,70,74,68,72,61,63,68,13,9,11,15,12,1
873,6000000,80,72,31,27,40,65,78,82,46,70,75,60,68,58,77,68,73,72,76,71,80,75,75,83,67,64,56,74,68,7,6,16,7,11,1
874,5000000,52,46,82,80,82,78,70,28,82,18,74,30,55,60,55,65,87,48,55,50,80,74,60,16,44,48,35,35,30,10,10,6,15,14,3
875,25000000,74,65,74,79,82,88,81,68,82,69,77,67,74,71,63,78,78,64,55,64,78,67,79,63,81,74,71,79,71,12,8,12,6,8,1
876,1700000,80,78,16,20,24,66,76,80,25,69,75,66,72,58,68,69,76,58,78,68,72,77,78,80,66,69,66,73,80,8,9,5,13,12,1
877,25000000,72,68,81,77,75,88,68,44,79,55,79,65,77,70,55,89,88,47,55,53,75,74,71,45,60,69,59,45,62,14,14,9,16,14,3
878,2000000,79,83,59,61,62,72,79,76,65,77,75,74,77,70,79,79,73,90,77,84,71,68,75,71,69,76,67,77,69,11,7,14,13,11,1
879,1500000,70,61,79,77,80,84,71,53,77,54,75,75,71,66,54,65,78,58,62,63,68,75,69,44,56,48,39,57,50,10,6,10,14,16,3
880,1000000,64,42,82,78,83,69,73,56,84,62,71,42,63,62,62,75,79,66,65,51,62,75,59,49,49,43,42,33,64,8,6,16,8,15,3
881,2500000,80,73,61,64,78,84,79,62,75,73,79,60,83,81,67,82,69,69,65,74,57,54,75,52,63,68,50,70,65,14,12,16,11,8,4
882,25000000,77,74,80,82,78,88,77,66,77,63,77,81,79,70,75,78,51,83,69,81,57,50,61,37,44,79,58,65,50,12,15,7,16,15,1
883,4000000,64,57,80,76,81,75,70,39,80,59,79,29,70,70,41,70,92,43,63,34,53,76,80,44,66,39,69,70,55,11,11,9,8,7,3
884,5000000,65,57,79,77,79,81,67,31,77,51,73,56,61,66,74,62,83,64,74,68,82,76,76,45,47,30,25,45,38,16,14,11,13,10,3
885,8000000,76,76,70,76,76,76,72,72,72,60,78,76,74,68,85,87,73,75,91,79,75,68,68,38,60,69,44,48,54,3,3,3,5,3,1
886,3500000,74,63,80,83,84,86,74,47,81,49,74,80,64,66,64,82,82,57,76,58,77,63,84,37,51,65,51,53,44,15,9,11,9,11,3
887,4500000,85,75,60,68,72,68,80,60,75,84,82,76,84,86,55,69,69,75,65,69,61,60,84,54,84,79,76,76,74,3,3,5,3,5,1
888,2500000,81,75,15,15,21,44,76,82,26,71,78,66,71,71,76,69,78,75,68,72,69,60,87,80,89,76,78,77,85,4,6,7,5,4,1
889,25000000,81,83,19,27,26,46,78,77,34,76,68,78,76,75,73,56,56,72,69,78,62,47,76,77,75,80,78,66,72,6,11,15,7,13,1
890,25000000,76,69,39,35,32,52,76,79,38,69,77,61,71,46,62,70,85,58,68,59,73,81,84,80,75,61,62,83,79,9,14,11,9,13,1
891,2500000,76,70,70,75,77,72,78,74,77,75,80,67,78,76,54,87,82,59,55,53,61,76,81,73,77,69,54,65,60,7,15,11,16,8,3
892,2500000,72,64,80,80,74,83,80,54,77,63,78,66,73,79,72,79,73,74,74,72,70,75,82,41,69,64,70,47,54,6,12,16,14,12,1
893,25000000,82,81,74,81,76,75,79,77,78,69,81,81,79,77,73,71,69,76,69,77,74,66,88,59,85,84,69,59,53,15,13,15,10,14,1
894,4000000,80,77,66,74,77,79,77,60,81,76,75,69,79,79,68,87,67,81,66,79,74,56,56,46,44,70,61,55,40,6,7,13,11,7,3
895,1000000,59,31,79,71,79,82,68,46,75,48,83,53,60,58,53,58,90,37,45,34,71,87,58,49,55,37,47,58,55,14,13,6,16,10,3
896,7000000,77,74,65,76,75,81,73,64,76,80,79,71,81,79,52,90,71,74,53,66,59,62,74,61,68,71,67,88,69,16,7,6,14,11,3
897,6000000,81,84,40,37,37,57,74,71,42,73,80,78,76,54,89,75,59,92,89,93,71,28,64,69,57,63,55,62,68,16,14,7,7,11,1
898,1750000,71,72,79,81,78,69,75,51,81,60,69,78,75,68,73,78,70,73,74,71,78,63,66,42,52,62,49,86,33,9,7,10,14,12,3
899,25000000,58,50,72,81,84,81,62,36,76,48,70,50,65,58,32,31,90,32,38,34,58,82,73,45,45,36,48,66,57,10,14,14,7,12,4
900,1500000,13,14,10,15,11,28,72,12,18,42,26,35,23,28,59,44,65,46,43,57,65,13,24,15,22,25,20,25,21,74,75,79,77,81,2
901,4000000,83,76,15,25,26,57,85,77,53,84,78,88,85,83,53,59,61,52,55,52,46,75,73,68,81,81,73,84,55,15,12,6,7,7,4
902,2000000,80,79,45,49,65,73,74,74,69,82,82,77,77,78,69,63,67,74,70,78,67,58,83,66,80,85,80,80,75,13,11,9,12,7,1
